Country,launched_at,Categories,Prct_goal
USA,14/9/25,art,102.15
USA,16/1/02,photography,0
USA,17/4/20,journalism,3.33
USA,11/12/13,art,0.02
USA,12/5/25,art,24.62
USA,17/4/10,fashion,100
USA,13/8/26,publishing,153.88
USA,15/1/08,publishing,0
USA,13/1/08,music,122.8
USA,16/10/05,film and video,0
USA,13/8/20,publishing,4.01
USA,16/9/08,music,161.55
USA,14/8/07,food,115.54
USA,11/11/14,music,113.53
USA,14/9/07,art,118
USA,15/7/28,technology,160.8
USA,16/9/02,technology,0.06
USA,17/6/01,games,329.4
USA,14/2/27,publishing,0.1
USA,12/8/06,art,31
USA,15/7/01,technology,2.26
USA,15/4/26,music,3.9
USA,14/6/02,publishing,0
USA,16/11/02,music,0
USA,12/1/28,music,23.33
USA,16/12/06,film and video,0.36
USA,15/3/24,technology,0
USA,16/9/22,design,14.88
USA,13/5/02,publishing,0.03
USA,13/9/01,publishing,0.01
USA,12/7/11,music,2.2
USA,16/9/21,technology,0
USA,12/2/29,publishing,109.78
USA,14/7/11,music,36.79
USA,14/8/20,art,23.1
USA,11/7/23,art,0
USA,13/4/15,film and video,117.43
USA,17/7/18,comics,291.85
USA,13/2/21,art,134
USA,17/2/01,games,188.13
USA,17/7/31,publishing,1008.67
USA,16/3/08,music,1.67
USA,17/4/04,art,103.4
USA,15/4/14,music,0
USA,14/6/16,music,110.83
USA,13/5/23,film and video,0.02
USA,16/9/06,dance,103.67
USA,14/12/25,technology,0.84
USA,13/8/09,publishing,4
USA,17/6/26,music,33.42
USA,15/9/21,film and video,0
USA,17/3/11,music,0
USA,14/9/09,technology,0
USA,15/5/07,publishing,106
USA,14/3/26,technology,27.09
USA,12/3/21,art,7.56
USA,15/7/17,photography,42
USA,12/5/08,music,100.02
USA,10/9/21,publishing,8.08
USA,12/9/13,music,0
USA,16/11/09,music,0
USA,12/8/03,music,105.77
USA,11/4/06,art,32.92
USA,17/8/14,publishing,179.64
USA,17/2/05,film and video,0.33
USA,16/10/25,design,111
USA,16/7/21,publishing,0.15
USA,15/11/30,art,0.53
USA,16/12/09,publishing,510
USA,17/5/01,design,1.68
USA,14/2/20,film and video,103.22
USA,16/9/26,publishing,1.07
USA,16/7/26,crafts,3.77
USA,15/5/11,technology,0
USA,16/5/31,food,0.19
USA,12/7/27,art,1
USA,15/9/09,technology,0
USA,13/10/15,publishing,0
USA,17/3/07,games,364.39
USA,17/1/30,technology,14.52
USA,13/10/01,music,223.6
USA,12/4/26,music,205.73
USA,15/4/28,games,1.53
USA,16/7/06,games,2769.45
