"","subregion","region","TotalBackers","MeanBackers","MedianBackers","MeanUSD","TotalUSD","MedianUSD"
"437","josephine","oregon",753,39.6315789473684,5,1407.42157894737,26741.01,195
"438","kalamazoo","michigan",4272,44.9684210526316,23,3290.22947368421,312571.8,1055
"439","kanawha","west virginia",41,20.5,20.5,611,1222,611
"440","kandiyohi","minnesota",121,24.2,3,5164.8,25824,190
"441","kane","illinois",4035,79.1176470588235,21,5561.67980392157,283645.67,1120
"442","kankakee","illinois",49,3.5,1.5,258.428571428571,3618,12
"443","kay","oklahoma",3,1,1,21.6666666666667,65,10
"444","kendall","illinois",1167,58.35,9,2711.03,54220.6,499
"445","kennebec","maine",209,19,2,1488.27272727273,16371,91
"446","kenosha","wisconsin",535,21.4,7,1956.88,48922,262
"447","kent","delaware",8209,144.017543859649,18,15795.8887719298,900365.66,1055
"448","kent","michigan",26782,71.4186666666667,13,4714.05549333333,1767770.81,615
"449","kent","rhode island",57,7.125,3,970,7760,112.5
"450","kenton","kentucky",540,15.8823529411765,3.5,1003.82676470588,34130.11,199
"451","kern","california",1974,20.3505154639175,6,2082.86092783505,202037.51,201
"452","kerr","texas",174,19.3333333333333,3,2822,25398,56
"453","king","washington",85059,281.652317880795,17,20353.2930794702,6146694.51,962.95
"454","kings","california",43,5.375,1.5,113.875,911,60
"455","kittitas","washington",409,45.4444444444444,5,2213.66666666667,19923,174
"456","klamath","oregon",128,11.6363636363636,3,690.090909090909,7591,109
"457","kleberg","texas",192,24,10,596,4768,307.5
"458","knox","illinois",11,5.5,5.5,198.5,397,198.5
"459","knox","tennessee",14717,85.0693641618497,9,7019.41335260116,1214358.51,435
"460","kootenai","idaho",1127,51.2272727272727,7,3055,67210,304.5
"461","kossuth","iowa",104,52,52,2282,4564,2282
"462","la crosse","wisconsin",107,5.35,1.5,270.4055,5408.11,50
"463","la porte","indiana",286,23.8333333333333,2.5,1796.66666666667,21560,67.5
"464","la salle","illinois",37,7.4,2,545.2,2726,26
"465","labette","kansas",2,0.666666666666667,0,8.33333333333333,25,0
"466","lackawanna","pennsylvania",916,18.6938775510204,5,1238.96244897959,60709.16,142
"467","lafayette","louisiana",63284,494.40625,20,42016.950859375,5378169.71,860
"468","lafourche","louisiana",22,7.33333333333333,4,355.043333333333,1065.13,58.13
"469","lake","california",5,1.25,0,46.25,185,0
"470","lake","florida",563,23.4583333333333,6.5,1818.66666666667,43648,170.5
"471","lake","illinois",5466,75.9166666666667,10.5,7071.30361111111,509133.86,410.5
"472","lake","indiana",1092,18.5084745762712,3,1006.60305084746,59389.58,70
"473","lake","montana",4,2,2,16.5,33,16.5
"474","lake","ohio",204,15.6923076923077,6,551.637692307692,7171.29,125
"475","lamoille","vermont",99,99,99,7280,7280,7280
"476","lancaster","nebraska",23022,177.092307692308,10,10649.0857692308,1384381.15,420.5
"477","lancaster","pennsylvania",129,18.4285714285714,5,955.428571428571,6688,90
"478","lane","oregon",6580,40.3680981595092,12,3989.50674846626,650289.6,437
"479","lapeer","michigan",953,476.5,476.5,6888.5,13777,6888.5
"480","laramie","wyoming",2216,76.4137931034483,4,7511.59655172414,217836.3,78
"481","larimer","colorado",9062,53.3058823529412,16,5026.01058823529,854421.8,874.5
"482","lassen","california",19,9.5,9.5,864.5,1729,864.5
"483","laurens","south carolina",1,1,1,10,10,10
"484","lawrence","pennsylvania",366,21.5294117647059,5,8240.76470588235,140093,266
"485","lawrence","south dakota",57,7.125,2.5,158.25,1266,122.5
"486","lawrence","tennessee",262,23.8181818181818,9,4632.86363636364,50961.5,465
"487","lea","new mexico",5,5,5,125,125,125
"488","leavenworth","kansas",678,67.8,5.5,4223.223,42232.23,665.5
"489","lebanon","pennsylvania",3333,119.035714285714,35.5,7788.80607142857,218086.57,2323.5
"490","lee","alabama",6747,65.504854368932,13,5152.11252427184,530667.59,620
